ID,group,specific,family,order,specific_type,primary_or_secondary,energy_density_j_per_g_dry_mass,source
1,Amphipods,Amphipods,,,order,secondary,17045,Hanson 1997
2,Amphipods,Gammarid,,,family,secondary,17200,Forster 1999
3,Cladoceran,Bosmina longirostris,,,species,primary,19869.63,Schindler 1971
4,Cladoceran,Cladoceran,,,superorder,secondary,22843,Hanson 1997
5,Cladoceran,Daphinia pulex,,,species,secondary,16966.62,Cummings 1967
6,Cladoceran,Daphinia pulex,,,species,secondary,17238.32,Cummings 1967
7,Cladoceran,Daphinia pulex,,,species,secondary,21213.5,Cummings 1967
8,Cladoceran,Daphnia dubia,,,species,primary,19927.45333,Schindler 1971
9,Cladoceran,Daphnids,,,family,secondary,20400,Forster 1999
10,Cladoceran,Holopedium gibberum,,,species,primary,19813.2,Schindler 1971
11,Cladoceran,Leptodora,,,genus,secondary,23718,Hanson 1997
12,Cladoceran,Leptodora kindtii,,,species,secondary,21681.488,Cummings 1967
13,Cladoceran,Leptodora kindtii,,,species,primary,24440.46,Vijverberg 1976
14,Cladoceran,Bosmina coregoni,,,species,primary,26363.26,Vijverberg 1976
15,Herbivorous Copepoda,calanus finmarchicus,Calanidae,Calanoida,species,secondary,24720.52,Cummings 1967
16,Herbivorous Copepoda,calanus finmarchicus,Calanidae,Calanoida,species,secondary,30848.4,Cummings 1967
17,Herbivorous Copepoda,calanus helgolandicus,Calanidae,Calanoida,species,secondary,22572,Cummings 1967
18,Herbivorous Copepoda,calanus hyperboreus,Calanidae,Calanoida,species,secondary,31065.76,Cummings 1967
19,Herbivorous Copepoda,Chydorus sphaericus,Chydoridae,Cladocera,species,primary,25581.6,Vijverberg 1976
20,Herbivorous Copepoda,Cyclops bicuspidatus thomasi,Cyclopidae,Cyclopoida,species,primary,26781,Schindler 1971
21,Herbivorous Copepoda,Diaptomus hyalinus,Diaptomidae,Calanoida,species,primary,26242.04,Vijverberg 1976
22,Herbivorous Copepoda,diaptomus leptopus,Diaptomidae,Calanoida,species,secondary,22555.28,Cummings 1967
23,Herbivorous Copepoda,diaptomus leptopus,Diaptomidae,Calanoida,species,secondary,22722.48,Cummings 1967
24,Herbivorous Copepoda,Diaptomus minutus,Diaptomidae,Calanoida,species,primary,26018,Schindler 1971
25,Herbivorous Copepoda,diaptomus siciloides,Diaptomidae,Calanoida,species,secondary,22296.12,Cummings 1967
26,Herbivorous Copepoda,diaptomus siciloides,Diaptomidae,Calanoida,species,secondary,23587.74,Cummings 1967
27,Herbivorous Copepoda,Eurytemora affinis,Temoridae,Calanoida,species,primary,26555.54,Vijverberg 1976
28,Herbivorous Copepoda,tigriopus californicus,Harpacticidae,Harpacticoida,species,secondary,23219.9,Cummings 1967
29,Mysids,Mysids,,,order,secondary,22762.5,Hanson 1997
30,Mysids,Taphromysis bowmani,,,species,primary,18501.934,Johnson 1978
31,Predatory Copepoda ,diaptomus arcticus,Diaptomidae,Calanoida,species,secondary,22856.24,Cummings 1967
32,Predatory Copepoda ,diaptomus arcticus,Diaptomidae,Calanoida,species,secondary,23098.68,Cummings 1967
33,Predatory Copepoda ,mesocyclops edax,Cyclopidae,Cyclopida,species,secondary,22898.04,Cummings 1967
34,Rotifers,Brachionus plicatilis,,,species,primary,18392,Theilacker 1984
35,Rotifers,Brachionus plicatilis,,,species,primary,19687.8,Yufera 1989
36,Rotifers,Kellicottia sp.,,,genus,primary,20337.79,Schindler 1971
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
